관련 화면 ID,기능명,목적,기능 설명,가능 여부
DOR_JO_001,회원가입,"신규 사용자가 계정을 생성하고, 서비스 이용을 위한 기본 정보를 등록할 수 있도록 한다.","사용자가 이메일·비밀번호·이름 필수 정보를 입력하고 약관에 동의하면 계정이 생성된다.

- 이메일 인증 후순위",가능
DOR_LO_001,로그인,기존 사용자가 안전하게 서비스에 접근할 수 있도록 한다.,"사용자가 이메일과 비밀번호를 입력하면, 검증 후 메인 화면으로 이동한다.",가능
DOR_CH_001,로그아웃,"사용자가 현재 세션을 종료하고, 계정을 안전하게 보호할 수 있도록 한다.",로그아웃 시 세션이 삭제되고 로그인 화면으로 이동한다.,가능
DOR_CH_001,계정 탈퇴,사용자가 계정을 탈퇴할 수 있도록 한다.,탈퇴 시 세션이 삭제되고 로그인 화면으로 이동한다.,가능
DOR_CH_001,채팅방 조회,"사용자가 서비스에서 제공하는 기본 채팅방 목록/내용을 확인하고, AI와 대화를 시작할 수 있도록 한다.","- 기본 채팅방 4개를 제공한다.
(친구방, 애인방, 학교 선배방, 회사 선배방)
- 사용자가 특정 채팅방을 클릭하면 해당 채팅방으로 진입한다.
- 채팅방에 진입할 때마다 AI가 먼저 말을 건네는 인트로 메시지가 노출된다.
- 이 인트로 메시지는 매번 달라지며(DB에서 순서대로 호출), 사용자에게 새로운 대화를 제공한다.",가능
DOR_CH_002,친밀도 설정,"채팅방에서 상대방과의 친밀도(조금, 보통, 많이)를 설정하여 이에 따른 격식을 표현에 반영할 수 있도록 한다.",사용자가 선택한 친밀도에 따라 AI 응답의 말투·뉘앙스가 달라진다.,가능
DOR_CH_002,AI 채팅,자연스러운 대화 경험을 통해 학습 효과를 제공한다.,"- 사용자가 입력한 문장과 사용자가 설정한 친밀도에 따라 AI가 교정/응답한다.
- AI가 보낸 메시지에 대한 제안 답변을 제공한다.",가능
DOR_ST_001,표현 보관,학습한 표현을 저장·복습할 수 있도록 한다.,사용자가 특정 표현을 보관 처리하면 보관함 페이지에서 다시 확인 가능하다.,가능
