화면ID,1depth,2depth,3depth,type,개발 구분,화면 정의 및 요구사항,비고
DOR_LO_001,로그인,,,page,jsp,"회원은 이메일, 비밀번호로 로그인 할 수 있다",
DOR_JO_001,회원가입,,,page,jsp,"회원은 이름, 이메일, 비밀번호를 입력하여 회원가입 할 수 있다",이메일 인증 smtp 프로토콜 필요
DOR_JO_002,,개인정보처리방침,,link,html,회원은 개인정보처리방침을 확인할 수 있다,노션으로 링크 연결
DOR_JO_003,,서비스 이용약관,,link,html,회원은 서비스 이용약관을 확인할 수 있다,노션으로 링크 연결
DOR_CH_001,채팅 목록,,,page,jsp,회원은 회원 정보(이름)와 채팅목록을 확인할 수 있다,회원가입 시 받아온 이름 노출
DOR_CH_002,,채팅방,,page,jsp,회원은 채팅방에서 ai와 채팅을 주고받을 수 있다,거리감 슬라이더 수시로 변경 가능
DOR_ST_001,,,보관함,page,jsp,회원은 저장한 설명을 보관함을 통해 다시 조회할 수 있다,채팅방별로 조회
